esri_id,esri_idn,GEOID,stcnty,total_pop2016,total_25plus,nHwtindiv,prp_nHwHHs,prp_HSminus,prp_no_auto,prp_not_insured,EstPropPersons5PlusNoEnglish,median_HH_inc
370099707003,370099707003,15000US370099707003,37009,1350,1156,0.9948148148,0.9889240506,0.3503460208,0,0.1540740741,0.0098784195,53267
370099707004,370099707004,15000US370099707004,37009,407,344,0.8624078624,1,0.511627907,0,0.0958230958,0.1302211302,
370099707005,370099707005,15000US370099707005,37009,812,620,0.9544334975,0.9673590504,0.2338709677,0,0,0.0307076101,72769
370099708001,370099708001,15000US370099708001,37009,1249,982,0.9831865492,1,0.4358452138,0,0.1176941553,0,39960
370099708002,370099708002,15000US370099708002,37009,1700,1209,0.9464705882,0.955465587,0.4888337469,0.020242915,0.0805882353,0.0346682606,38536
370099708003,370099708003,15000US370099708003,37009,1870,1383,0.950802139,1,0.446131598,0.0675159236,0.1235294118,0.0279485746,40393
370119301001,370119301001,15000US370119301001,37011,1369,1090,0.9408327246,0.9594790159,0.2935779817,0.0665701881,0.1329437546,0.0508209539,50266
370119301002,370119301002,15000US370119301002,37011,1390,461,0.8841726619,0.9964412811,0.3687635575,0.0711743772,0.112961622,0.0495672699,49280
370119301003,370119301003,15000US370119301003,37011,351,319,0.9658119658,0.9680851064,0.5172413793,0.0372340426,0.0541310541,0,29375
370119302001,370119302001,15000US370119302001,37011,1023,806,0.908113392,1,0.2158808933,0.0686498856,0.1108695652,0.0071942446,60550
370119302002,370119302002,15000US370119302002,37011,494,388,0.8117408907,0.9488188976,0.6778350515,0.0393700787,0.2044534413,0.1821862348,24491
370119302003,370119302003,15000US370119302003,37011,1151,887,1,1,0.3416009019,0.0817717206,0.0851433536,0,35221
